,date,variation,Time,VADER score,favorites,weekday,date_backup
200,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.2023,6,4,2019-10-25 02:39:00
201,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.6124,6,4,2019-10-25 02:39:00
202,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.8971,3,4,2019-10-25 02:18:00
203,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.4404,1,4,2019-10-25 02:05:00
204,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.765,1,4,2019-10-25 02:00:00
205,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.5574,1,4,2019-10-25 01:49:00
206,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,1,4,2019-10-25 01:45:00
207,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.34,2,4,2019-10-25 01:42:00
208,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.7546,4,4,2019-10-25 01:04:00
209,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.3182,2,4,2019-10-25 00:04:00
210,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.0258,8,4,2019-10-25 00:00:00
211,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.2023,6,4,2019-10-25 02:39:00
212,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.2411,1,4,2019-10-25 09:16:00
213,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,4,4,2019-10-25 06:30:00
214,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.573,4,4,2019-10-25 09:31:00
215,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.6868,1,3,2019-10-24 23:50:00
216,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.7405,7,3,2019-10-24 23:37:00
217,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.7923,1,3,2019-10-24 23:35:00
218,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.7579,6,3,2019-10-24 23:33:00
219,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.7543,3,3,2019-10-24 22:18:00
220,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.4767,4,3,2019-10-24 21:53:00
221,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,4,3,2019-10-24 21:38:00
222,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,5,3,2019-10-24 21:15:00
223,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.7959,1,3,2019-10-24 21:06:00
224,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,3,3,2019-10-24 21:04:00
225,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.1477,4,3,2019-10-24 20:44:00
226,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,1,3,2019-10-24 20:29:00
227,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.6369,33,3,2019-10-24 20:20:00
228,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.5859,4,3,2019-10-24 20:14:00
229,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.7351,1,3,2019-10-24 20:10:00
230,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.8905,3,3,2019-10-24 20:09:00
231,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,1,3,2019-10-24 19:43:00
232,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.4404,11,3,2019-10-24 19:28:00
233,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,163,3,2019-10-24 19:28:00
234,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.8957,8,3,2019-10-24 19:21:00
235,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.0516,4,3,2019-10-24 19:00:00
236,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.2732,5,3,2019-10-24 18:45:00
237,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.7003,2,3,2019-10-24 18:31:00
238,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0516,7,3,2019-10-24 18:28:00
239,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,2,3,2019-10-24 18:21:00
240,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,1,3,2019-10-24 18:19:00
241,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.5859,1,3,2019-10-24 18:04:00
242,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.743,5,3,2019-10-24 18:00:00
243,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,7,3,2019-10-24 17:32:00
244,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,1,3,2019-10-24 17:32:00
245,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,3,3,2019-10-24 17:30:00
246,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.3736,10,3,2019-10-24 17:28:00
247,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.3819,23,3,2019-10-24 17:13:00
248,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.25,6,3,2019-10-24 16:40:00
249,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.0644,12,3,2019-10-24 16:39:00
250,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.4341,2,3,2019-10-24 16:34:00
251,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.4404,14,3,2019-10-24 16:33:00
252,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,2,3,2019-10-24 16:29:00
253,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,162,3,2019-10-24 16:25:00
254,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,-0.4998,1,3,2019-10-24 16:06:00
255,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,163,3,2019-10-24 19:28:00
256,2019-10-25 09:31:00,-2.5738396624472557,09:31:00,0.0,162,3,2019-10-24 16:25:00
257,2019-10-24 15:26:00,-0.0867678958785234,15:26:00,-0.7096,1,3,2019-10-24 15:26:00
258,2019-10-24 15:08:00,-0.08669267446900619,15:08:00,0.0,4,3,2019-10-24 15:08:00
259,2019-10-24 14:16:00,0.2168256721595867,14:16:00,0.1406,3,3,2019-10-24 14:16:00
260,2019-10-24 13:30:00,-0.08658008658009919,13:30:00,0.1655,15,3,2019-10-24 13:30:00
