date,1. open,2. high,3. low,4. close,5. volume
2019-08-13 12:38:00,3.295,3.295,3.295,3.295,100.0
2019-08-13 12:39:00,3.29,3.2934,3.29,3.2934,5686.0
2019-08-13 12:41:00,3.29,3.29,3.29,3.29,700.0
2019-08-13 12:42:00,3.29,3.29,3.29,3.29,1540.0
2019-08-13 12:43:00,3.2945,3.2945,3.29,3.29,4990.0
2019-08-13 12:45:00,3.29,3.29,3.29,3.29,800.0
2019-08-13 12:46:00,3.29,3.29,3.29,3.29,200.0
2019-08-13 12:47:00,3.295,3.295,3.29,3.29,940.0
2019-08-13 12:48:00,3.29,3.295,3.29,3.295,550.0
2019-08-13 12:49:00,3.29,3.29,3.29,3.29,1701.0
2019-08-13 12:51:00,3.29,3.29,3.29,3.29,1000.0
2019-08-13 12:52:00,3.29,3.29,3.285,3.285,26420.0
2019-08-13 12:54:00,3.285,3.285,3.285,3.285,775.0
2019-08-13 12:55:00,3.285,3.285,3.2838,3.285,5288.0
2019-08-13 12:56:00,3.285,3.285,3.285,3.285,4428.0
2019-08-13 12:57:00,3.28,3.285,3.28,3.285,900.0
2019-08-13 12:59:00,3.285,3.29,3.285,3.29,1297.0
2019-08-13 13:01:00,3.285,3.285,3.285,3.285,300.0
2019-08-13 13:02:00,3.285,3.285,3.285,3.285,23708.0
2019-08-13 13:04:00,3.285,3.285,3.285,3.285,100.0
2019-08-13 13:05:00,3.285,3.285,3.285,3.285,213.0
2019-08-13 13:06:00,3.285,3.285,3.285,3.285,300.0
2019-08-13 13:07:00,3.285,3.3,3.285,3.295,172245.0
2019-08-13 13:08:00,3.295,3.3,3.29,3.29,4100.0
2019-08-13 13:09:00,3.3,3.3,3.3,3.3,1710.0
2019-08-13 13:11:00,3.305,3.305,3.305,3.305,183851.0
2019-08-13 13:12:00,3.305,3.305,3.3,3.305,6966.0
2019-08-13 13:13:00,3.305,3.3061,3.3,3.3,11908.0
2019-08-13 13:14:00,3.305,3.305,3.305,3.305,1100.0
2019-08-13 13:15:00,3.305,3.305,3.305,3.305,400.0
2019-08-13 13:17:00,3.305,3.305,3.305,3.305,500.0
2019-08-13 13:18:00,3.305,3.305,3.29,3.295,145524.0
2019-08-13 13:19:00,3.3,3.3,3.295,3.3,2418.0
2019-08-13 13:20:00,3.295,3.3,3.295,3.295,2115.0
2019-08-13 13:21:00,3.295,3.295,3.295,3.295,600.0
2019-08-13 13:23:00,3.3,3.3,3.3,3.3,15266.0
2019-08-13 13:24:00,3.3,3.3,3.295,3.295,1700.0
2019-08-13 13:25:00,3.295,3.295,3.295,3.295,200.0
2019-08-13 13:26:00,3.3,3.3,3.29,3.295,18757.0
2019-08-13 13:27:00,3.295,3.295,3.295,3.295,900.0
2019-08-13 13:29:00,3.29,3.295,3.29,3.295,45115.0
2019-08-13 13:31:00,3.3,3.3,3.3,3.3,310.0
2019-08-13 13:35:00,3.3,3.3,3.29,3.29,65783.0
2019-08-13 13:36:00,3.295,3.295,3.295,3.295,1410.0
2019-08-13 13:37:00,3.2904,3.2904,3.2904,3.2904,5090.0
2019-08-13 13:38:00,3.29,3.2901,3.29,3.2901,16472.0
2019-08-13 13:39:00,3.29,3.295,3.29,3.29,3510.0
2019-08-13 13:40:00,3.295,3.295,3.29,3.29,2240.0
2019-08-13 13:41:00,3.295,3.295,3.29,3.295,49386.0
2019-08-13 13:42:00,3.295,3.3,3.295,3.295,26000.0
2019-08-13 13:43:00,3.295,3.3,3.295,3.295,42700.0
2019-08-13 13:44:00,3.295,3.3,3.29,3.295,58600.0
2019-08-13 13:45:00,3.295,3.295,3.295,3.295,2901.0
2019-08-13 13:46:00,3.295,3.295,3.295,3.295,2901.0
2019-08-13 13:47:00,3.295,3.295,3.295,3.295,220.0
2019-08-13 13:50:00,3.295,3.295,3.29,3.295,9380.0
2019-08-13 13:51:00,3.295,3.295,3.295,3.295,620.0
2019-08-13 13:52:00,3.295,3.295,3.295,3.295,400.0
2019-08-13 13:55:00,3.295,3.295,3.29,3.29,9628.0
2019-08-13 13:56:00,3.295,3.3,3.29,3.3,1920.0
2019-08-13 13:57:00,3.29,3.3,3.29,3.3,701.0
2019-08-13 13:58:00,3.3,3.3,3.295,3.295,600.0
2019-08-13 13:59:00,3.295,3.3,3.29,3.29,6040.0
2019-08-13 14:00:00,3.295,3.3,3.295,3.295,7520.0
