username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
GrantNoland;2018-03-02 18:07;9;12;"I don't know where anyone makes Steel any longer. Iron ore is not mined or shipped in the Great Lakes area. Mile long coal trains aren't lined up at Coke Batteries. There aren't any. Coal Trains or Coke Batteries. The U.S doesn't make it the old way. We reuse scrap like Japan pic.twitter.com/8XSzFgt8Wz";;;;"969680647060156416";https://twitter.com/GrantNoland/status/969680647060156416
Ms_Addertongue;2018-03-02 12:51;4;27;"Please tell me exactly where PA. steel is boomimg? I live in Pittsburgh and your sadly mistalken and we don't want those mills back here so we can live with gray skies, red iron ore dusting everything, and soot falling all over time. Come into this century, please.";;;;"969601220108345349";https://twitter.com/Ms_Addertongue/status/969601220108345349
GeologyPage;2018-03-02 05:00;10;36;"Hematite | #Geology #GeologyPage #Mineral Chemical Formula: Fe2O3 Locality: Matto Grosso, Brazil. Mesabi iron ore range, Minnesota, USA. Name Origin: From the Greek, haimatites, “bloodlike'” in allusion to vivid red color of the powder. Read more : http://www. geologypage.com/2014/04/hemati te.html …";;;#Geology #GeologyPage #Mineral;"969482449775243264";https://twitter.com/GeologyPage/status/969482449775243264
PollaGarmiany;2018-02-27 20:31;20;59;"Red for South Kurdistan's mountains full of iron ore . White for East Kurdistan's cultural heritage of all Kurds. Gold for West Kurdistan's sun-kissed plains. Green for North Kurdistan's breathtaking nature. pic.twitter.com/PvglNbhBPI";;;;"968629670999707649";https://twitter.com/PollaGarmiany/status/968629670999707649
ken_kfwatson;2018-02-26 23:03;6;17;"Iron ore -the mighty Pilbara ready for another boom. China's top steelmaking city plans to extend output curbs to mid-November http://www. afr.com/news/world/asi a/chinas-top-steelmaking-city-plans-to-extend-output-curbs-to-midnovember-20180226-h0wowm … via @FinancialReview";;@FinancialReview;;"968305593546100737";https://twitter.com/ken_kfwatson/status/968305593546100737
Scutty;2018-02-26 18:04;8;16;"Iron ore is closing in on $80 a tonne (via @BIAUS ) https://www. businessinsider.com.au/iron-ore-price -china-steel-inventories-2018-2 … #ausbiz pic.twitter.com/l48w9O497G";;@BIAUS;#ausbiz;"968230421304520704";https://twitter.com/Scutty/status/968230421304520704
business;2018-02-26 16:07;9;19;"Iron ore surges to a 10-month high https:// bloom.bg/2EUnjsp pic.twitter.com/TvVVuCa3MY";;;;"968200987730202624";https://twitter.com/business/status/968200987730202624
tbiesheuvel;2018-02-26 07:37;42;52;"Iron ore is on a crazy run again. Highest in 10 months pic.twitter.com/GZjnGfgMnb";;;;"968072584712654848";https://twitter.com/tbiesheuvel/status/968072584712654848
FT;2018-02-26 05:53;12;16;"China steel and iron ore futures soar on new pollution curbs http:// on.ft.com/2Ck8yNL";;;;"968046376260169728";https://twitter.com/FT/status/968046376260169728
ProfRayWills;2018-02-25 01:25;8;14;"In Jan 2018 over 350bn tonne rain (my est.) fell #DownUnder on northern Australia, + south thru Western Australia Fun facts: - every minute, almost 1bn tonne rain falls on Earth - global av. 2mm rain/day - #Aus exported 825mn tonne iron ore in 2016 + see https:// twitter.com/ProfRayWills/s tatus/892928478349099008 … pic.twitter.com/LcFLb6lWOB";;;#DownUnder #Aus;"967616498230423552";https://twitter.com/ProfRayWills/status/967616498230423552
AshGhebranious;2018-02-24 19:08;43;52;"If the tax cuts in America make it more competitive than Australia, then why are the Americans introducing tariffs on iron ore and steel? #insiders #auspol";;;#insiders #auspol;"967521631173099520";https://twitter.com/AshGhebranious/status/967521631173099520
AboutIndia;2018-02-24 04:45;8;18;"The Supreme Court recently ordered iron ore #mining operations to cease in #Goa by March 15. However, until then mining intensity has increased. Roads are jammed with trucks! pic.twitter.com/pQqrk2ome5";;;#mining #Goa;"967304498397024256";https://twitter.com/AboutIndia/status/967304498397024256
TheMarkTwain;2018-02-20 14:03;51;141;"Everything has its limit - iron ore cannot be educated into gold.";;;;"965995222118420480";https://twitter.com/TheMarkTwain/status/965995222118420480
shivmusik;2018-02-20 08:21;11;14;"Still those dumeel n pawan kalyan types dont know all vital Natural resources- Coal, iron ore , bauxite etc cm from chotanagpur plateau, orissa etc, petroleum from assam, wheat from central areas n punjab.. Not semi-literates but perverse -literates..";;;;"965909165829906433";https://twitter.com/shivmusik/status/965909165829906433
chigrl;2018-02-19 09:19;6;11;"#China 's Iron Ore Imports and Stocks pic.twitter.com/1ENAytSAOY";;;#China;"965561464428908544";https://twitter.com/chigrl/status/965561464428908544
atlasobscura;2018-02-18 13:06;11;31;"The Bell Island iron ore mine began operations in 1895, and it became one of the most prosperous places in the history of Newfoundland https:// trib.al/3xZIiIa";;;;"965241202776866816";https://twitter.com/atlasobscura/status/965241202776866816
MikeCarlton01;2018-02-17 03:20;1653;3294;"One of the big lies of politics is that the National Party represents country folk. No it doesn’t. It’s there for Big Coal, Big Iron Ore , Big Gas, Big Sugar, Big Water, Big Beef and Big Gina...";;;;"964731256347881472";https://twitter.com/MikeCarlton01/status/964731256347881472
